,CCIParameters,CumulativeReturn,DailyWinRate,KLineSubType,MACDParameters,MaxDrawdown,Number of Orders,ProfitBeforeFee,SharpeRatio,Slippage,Symbol,Total Fee,slowKDParameters
0,"26,0.015,100,7",-0.017481240024396216,0.5135135135135135,K_30M,"5,35,5",0.022398291163688633,24,-448.0,-0.502027715963341,-0.5678571428571428,HK.MHImain,254.39999999999998,"9,3,3"
0,"26,0.015,100,7",-0.01219137081089805,0.4489795918367347,K_15M,"5,35,5",0.014631787415350317,8,-308.0,-0.9520292700843379,-0.2753246753246753,HK.MHImain,84.8,"9,3,3"
