t,code,time_key,open,close,high,low,volume,turnover,pe_ratio,turnover_rate,last_close,holding,orderPlaced,index_ret,ma5,ma10,ma20,ma60,diff,dea,macd,macdThreshold,macdScore,slowkdScore,slowk,slowd,tp,matp,mean_dev,CCI,CCIScore
0,HK.00823,2020-07-14 11:55:00,61.7,61.95,61.95,61.7,25700,1590395.0,0.0,0.0,61.9,0,,,,,,,,,,0.0,,0.0,,,61.866666666666674,,,,0.0
1,HK.00823,2020-07-14 12:00:00,61.85,61.9,61.95,61.85,11200,693435.0,0.0,0.0,61.95,0,,-0.0008071025020178757,,,,,,,,,,,,,61.9,,,,
2,HK.00823,2020-07-14 13:05:00,61.95,62.0,62.2,61.9,183700,11395600.0,0.0,0.0,61.9,0,,0.001615508885298933,,,,,,,,,,,,,62.03333333333333,,,,
3,HK.00823,2020-07-14 13:10:00,61.95,62.15,62.2,61.95,51700,3208355.0,0.0,0.0,62.0,0,,0.0024193548387096975,,,,,,,,,,,,,62.1,,,,
4,HK.00823,2020-07-14 13:15:00,62.15,62.0,62.15,61.95,49600,3078055.0,0.0,0.0,62.15,0,,-0.002413515687851975,62.0,,,,,,,0.0,0.0,0.0,,,62.03333333333334,,,,
5,HK.00823,2020-07-14 13:20:00,61.95,62.05,62.05,61.95,27600,1711425.0,0.0,0.0,62.0,0,,0.0008064516129031585,62.02,,,,,,,0.0,0.0,0.0,,,62.01666666666667,,,,
6,HK.00823,2020-07-14 13:25:00,62.05,62.1,62.15,62.0,16400,1018010.0,0.0,0.0,62.05,0,,0.0008058017727639033,62.06,,,,,,,0.0,0.0,0.0,,,62.083333333333336,,,,
7,HK.00823,2020-07-14 13:30:00,62.1,62.2,62.2,62.1,49500,3076435.0,0.0,0.0,62.1,0,,0.0016103059581320522,62.1,,,,,,,0.0,0.0,0.0,,,62.166666666666664,,,,
8,HK.00823,2020-07-14 13:35:00,62.25,62.2,62.25,62.15,16400,1020255.0,0.0,0.0,62.2,0,,0.0,62.11,,,,,,,0.0,0.0,0.0,,,62.199999999999996,,,,
9,HK.00823,2020-07-14 13:40:00,62.25,62.25,62.25,62.2,9000,560220.0,0.0,0.0,62.2,0,,0.000803858520900258,62.160000000000004,62.080000000000005,,,,,,0.0,0.0,0.0,,,62.23333333333333,,,,
10,HK.00823,2020-07-14 13:45:00,62.25,62.15,62.25,62.15,25800,1605155.0,0.0,0.0,62.25,0,,-0.0016064257028112205,62.17999999999999,62.1,,,,,,0.0,0.0,0.0,,,62.18333333333334,,,,
11,HK.00823,2020-07-14 13:50:00,62.2,62.15,62.5,62.15,124200,7732735.0,0.0,0.0,62.15,0,,0.0,62.19,62.125,,,,,,0.0,0.0,0.0,,,62.26666666666667,,,,
12,HK.00823,2020-07-14 13:55:00,62.15,62.1,62.25,62.05,64100,3980875.0,0.0,0.0,62.15,0,,-0.0008045052292839916,62.17,62.135000000000005,,,,,,0.0,0.0,0.0,45.02164502164468,67.24386724386704,62.133333333333326,,,,
13,HK.00823,2020-07-14 14:00:00,62.1,62.1,62.15,62.05,18700,1161580.0,0.0,0.0,62.1,0,,0.0,62.15000000000001,62.13000000000001,,,,,,0.0,0.0,0.0,30.303030303030024,48.196248196247886,62.1,,,,
14,HK.00823,2020-07-14 14:05:00,62.1,62.2,62.3,62.05,53300,3311860.0,0.0,0.0,62.1,0,,0.0016103059581320522,62.14000000000001,62.15000000000001,,,,,,0.0,0.0,0.0,31.51515151515162,35.613275613275434,62.18333333333334,,,,
15,HK.00823,2020-07-14 14:10:00,62.3,62.3,62.35,62.15,29900,1860050.0,0.0,0.0,62.2,0,,0.001607717041800516,62.17,62.17500000000001,,,,,,0.0,0.0,0.0,40.94276094276097,34.25364758698086,62.26666666666667,,,,
16,HK.00823,2020-07-14 14:15:00,62.3,62.4,62.45,62.3,29800,1858445.0,0.0,0.0,62.3,0,,0.0016051364365972098,62.220000000000006,62.205000000000005,,,,,,0.0,0.0,0.0,57.77777777777779,43.411896745230116,62.383333333333326,,,,
17,HK.00823,2020-07-14 14:20:00,62.4,62.45,62.5,62.4,51500,3214900.0,0.0,0.0,62.4,0,,0.0008012820512821595,62.290000000000006,62.230000000000004,,,,,,0.0,0.0,0.0,74.07407407407413,57.59820426487096,62.449999999999996,,,,
18,HK.00823,2020-07-14 14:25:00,62.45,62.6,62.6,62.4,50200,3137280.0,0.0,0.0,62.45,0,,0.0024019215372297342,62.39000000000001,62.27,,,,,,0.0,0.0,0.0,88.88888888888907,73.58024691358032,62.53333333333333,,,,
19,HK.00823,2020-07-14 14:30:00,62.55,62.6,62.65,62.55,119300,7470645.0,0.0,0.0,62.6,0,,0.0,62.47000000000001,62.30500000000001,62.192499999999995,,,,,0.0,0.0,0.0,93.51851851851893,85.49382716049404,62.6,,,,
20,HK.00823,2020-07-14 14:35:00,62.65,62.65,62.65,62.6,89500,5605100.0,0.0,0.0,62.6,0,,0.0007987220447283061,62.540000000000006,62.355000000000004,62.2275,,,,,0.0,0.0,0.0,97.2222222222224,93.20987654321011,62.63333333333333,,,,
21,HK.00823,2020-07-14 14:40:00,62.65,62.6,62.7,62.6,41500,2599785.0,0.0,0.0,62.65,0,,-0.0007980845969672856,62.580000000000005,62.40000000000001,62.26249999999999,,,,,0.0,0.0,-1.0,92.09401709401725,94.27825261158618,62.63333333333333,,,,
22,HK.00823,2020-07-14 14:45:00,62.6,62.7,62.7,62.6,28300,1773610.0,0.0,0.0,62.6,0,,0.0015974440894568342,62.63000000000001,62.460000000000015,62.29749999999999,,,,,0.0,0.0,0.0,94.87179487179485,94.72934472934482,62.666666666666664,,,,
23,HK.00823,2020-07-14 14:50:00,62.65,62.65,62.7,62.6,64100,4016230.0,0.0,0.0,62.7,0,,-0.0007974481658692412,62.64000000000001,62.51500000000001,62.32249999999999,,,,,0.0,0.0,-1.0,91.84149184149157,92.93576793576788,62.65,,,,
24,HK.00823,2020-07-14 14:55:00,62.65,62.7,62.7,62.65,33200,2080565.0,0.0,0.0,62.65,0,,0.0007980845969672856,62.66000000000001,62.56500000000001,62.357499999999995,,,,,0.0,0.0,0.0,96.96969696969673,94.56099456099436,62.68333333333334,,,,
