t,code,time_key,open,close,high,low,volume,turnover,pe_ratio,turnover_rate,last_close,holding,orderPlaced,index_ret,ma5,ma10,ma20,ma60,diff,dea,macd,macdThreshold,macdScore,slowkdScore,slowk,slowd,tp,matp,mean_dev,CCI,CCIScore
0,HK.00151,2020-07-14 11:55:00,6.01,6.02,6.02,6.01,71000,427150.0,0.0,0.0,6.02,0,,,,,,,,,,0.0,,0.0,,,6.016666666666666,,,,0.0
1,HK.00151,2020-07-14 12:00:00,6.03,6.02,6.03,6.01,12000,72210.0,0.0,0.0,6.02,0,,0.0,,,,,,,,,,,,,6.0200000000000005,,,,
2,HK.00151,2020-07-14 13:05:00,6.02,6.0,6.04,6.0,641000,3860860.0,0.0,0.0,6.02,0,,-0.0033222591362125353,,,,,,,,,,,,,6.013333333333333,,,,
3,HK.00151,2020-07-14 13:10:00,6.01,6.02,6.02,6.01,119000,715350.0,0.0,0.0,6.0,0,,0.0033333333333331883,,,,,,,,,,,,,6.016666666666666,,,,
4,HK.00151,2020-07-14 13:15:00,6.01,6.0,6.02,6.0,208000,1250060.0,0.0,0.0,6.02,0,,-0.0033222591362125353,6.012,,,,,,,0.0,0.0,0.0,,,6.006666666666667,,,,
5,HK.00151,2020-07-14 13:20:00,6.01,6.01,6.01,6.0,100000,600990.0,0.0,0.0,6.0,0,,0.0016666666666667052,6.01,,,,,,,0.0,0.0,0.0,,,6.006666666666667,,,,
6,HK.00151,2020-07-14 13:25:00,6.01,6.01,6.02,6.01,176000,1057770.0,0.0,0.0,6.01,0,,0.0,6.008,,,,,,,0.0,0.0,0.0,,,6.013333333333333,,,,
7,HK.00151,2020-07-14 13:30:00,6.01,6.03,6.03,6.01,325000,1955620.0,0.0,0.0,6.01,0,,0.0033277870216306127,6.014,,,,,,,0.0,0.0,0.0,,,6.023333333333333,,,,
8,HK.00151,2020-07-14 13:35:00,6.03,6.03,6.03,6.03,31000,186930.0,0.0,0.0,6.03,0,,0.0,6.016,,,,,,,0.0,0.0,0.0,,,6.03,,,,
9,HK.00151,2020-07-14 13:40:00,6.02,6.01,6.03,6.01,25000,150450.0,0.0,0.0,6.03,0,,-0.0033167495854063977,6.018000000000001,6.015,,,,,,0.0,0.0,0.0,,,6.016666666666666,,,,
10,HK.00151,2020-07-14 13:45:00,6.01,6.01,6.01,6.01,19000,114190.0,0.0,0.0,6.01,0,,0.0,6.018000000000001,6.013999999999999,,,,,,0.0,0.0,0.0,,,6.010000000000001,,,,
11,HK.00151,2020-07-14 13:50:00,6.01,6.01,6.02,6.01,40000,240550.0,0.0,0.0,6.01,0,,0.0,6.018000000000001,6.012999999999999,,,,,,0.0,0.0,0.0,,,6.013333333333333,,,,
12,HK.00151,2020-07-14 13:55:00,6.01,6.01,6.02,6.01,40000,240580.0,0.0,0.0,6.01,0,,0.0,6.014,6.0139999999999985,,,,,,0.0,0.0,0.0,30.555555555554715,33.33333333333276,6.013333333333333,,,,
13,HK.00151,2020-07-14 14:00:00,6.01,6.01,6.02,6.01,15000,90170.0,0.0,0.0,6.01,0,,0.0,6.01,6.012999999999999,,,,,,0.0,0.0,0.0,33.33333333333235,30.55555555555472,6.013333333333333,,,,
14,HK.00151,2020-07-14 14:05:00,6.01,6.02,6.02,6.0,444000,2670410.0,0.0,0.0,6.01,0,,0.0016638935108153063,6.012,6.014999999999999,,,,,,0.0,0.0,0.0,44.44444444444313,36.11111111111007,6.013333333333333,,,,
15,HK.00151,2020-07-14 14:10:00,6.02,6.02,6.02,6.01,7000,42130.0,0.0,0.0,6.02,0,,0.0,6.013999999999999,6.016,,,,,,0.0,0.0,0.0,55.555555555553916,44.44444444444314,6.016666666666666,,,,
16,HK.00151,2020-07-14 14:15:00,6.01,6.01,6.01,6.01,5000,30050.0,0.0,0.0,6.02,0,,-0.0016611295681062677,6.0139999999999985,6.016,,,,,,0.0,0.0,0.0,55.555555555553916,51.851851851850334,6.010000000000001,,,,
17,HK.00151,2020-07-14 14:20:00,6.01,6.01,6.02,6.01,48000,288520.0,0.0,0.0,6.01,0,,0.0,6.0139999999999985,6.013999999999999,,,,,,0.0,0.0,0.0,44.44444444444313,51.851851851850334,6.013333333333333,,,,
18,HK.00151,2020-07-14 14:25:00,6.02,6.03,6.04,6.02,283000,1704520.0,0.0,0.0,6.01,0,,0.0033277870216306127,6.017999999999999,6.013999999999999,,,,,,0.0,0.0,0.0,47.22222222222175,49.07407407407294,6.03,,,,
19,HK.00151,2020-07-14 14:30:00,6.03,6.04,6.04,6.03,14000,84430.0,0.0,0.0,6.03,0,,0.0016583747927030323,6.021999999999999,6.0169999999999995,6.016000000000001,,,,,0.0,0.0,0.0,69.4444444444443,53.70370370370307,6.036666666666666,,,,
20,HK.00151,2020-07-14 14:35:00,6.03,6.03,6.04,6.03,92000,555420.0,0.0,0.0,6.04,0,,-0.0016556291390728006,6.023999999999999,6.019,6.0165000000000015,,,,,0.0,0.0,0.0,83.33333333333371,66.6666666666666,6.033333333333334,,,,
21,HK.00151,2020-07-14 14:40:00,6.03,6.03,6.04,6.03,44000,265630.0,0.0,0.0,6.03,0,,0.0,6.0280000000000005,6.021,6.017000000000001,,,,,0.0,0.0,0.0,83.33333333333371,78.70370370370392,6.033333333333334,,,,
22,HK.00151,2020-07-14 14:45:00,6.04,6.03,6.04,6.03,14000,84480.0,0.0,0.0,6.03,0,,0.0,6.032000000000001,6.023000000000001,6.018500000000001,,,,,0.0,0.0,0.0,75.00000000000057,80.55555555555601,6.033333333333334,,,,
23,HK.00151,2020-07-14 14:50:00,6.03,6.03,6.03,6.02,149000,898380.0,0.0,0.0,6.03,0,,0.0,6.032000000000001,6.025,6.019000000000002,,,,,0.0,0.0,0.0,72.22222222222292,76.85185185185242,6.026666666666666,,,,
24,HK.00151,2020-07-14 14:55:00,6.02,6.02,6.02,6.02,12000,72240.0,0.0,0.0,6.03,0,,-0.0016583747927032544,6.0280000000000005,6.025,6.020000000000001,,,,,0.0,0.0,0.0,58.33333333333352,68.51851851851902,6.02,,,,
25,HK.00151,2020-07-14 15:00:00,6.03,6.04,6.04,6.03,358000,2159410.0,0.0,0.0,6.02,0,,0.0033222591362127574,6.03,6.027,6.021500000000001,,,,,0.0,0.0,0.0,66.66666666666667,65.74074074074105,6.036666666666666,6.019871794871795,0.008057199211045725,138.96368829048035,
26,HK.00151,2020-07-14 15:05:00,6.03,6.02,6.03,6.02,91000,548660.0,0.0,0.0,6.04,0,,-0.0033112582781458233,6.0280000000000005,6.0280000000000005,6.022000000000001,,,,,0.0,0.0,0.0,44.444444444444116,56.481481481481445,6.023333333333333,6.020128205128207,0.008106508875740244,26.358475263571755,0.0
27,HK.00151,2020-07-14 15:10:00,6.03,6.03,6.03,6.03,324000,1953720.0,0.0,0.0,6.02,0,,0.0016611295681063787,6.0280000000000005,6.03,6.022000000000001,,,,,0.0,0.0,0.0,50.00000000000074,53.70370370370386,6.03,6.020512820512821,0.00854043392504973,74.05696689760549,0.0
28,HK.00151,2020-07-14 15:15:00,6.04,6.02,6.04,6.02,69000,416060.0,0.0,0.0,6.03,0,,-0.0016583747927032544,6.026,6.029000000000001,6.021500000000001,,,,,0.0,0.0,0.0,16.666666666667407,37.037037037037436,6.026666666666666,6.021025641025643,0.00854043392504973,44.033872209371495,0.0
29,HK.00151,2020-07-14 15:20:00,6.02,6.03,6.03,6.02,377000,2273090.0,0.0,0.0,6.02,0,,0.0016611295681063787,6.0280000000000005,6.0280000000000005,6.022500000000001,,,,,0.0,0.0,0.0,33.333333333334814,33.33333333333434,6.026666666666666,6.021410256410259,0.008589743589743805,40.79601990047636,0.0
30,HK.00151,2020-07-14 15:25:00,6.03,6.04,6.04,6.03,2000,12070.0,0.0,0.0,6.03,0,,0.0016583747927030323,6.0280000000000005,6.029000000000001,6.024000000000001,,,,,0.0,0.0,0.0,50.00000000000074,33.33333333333434,6.036666666666666,6.022564102564105,0.008520710059171628,110.33950617281786,1.0
31,HK.00151,2020-07-14 15:30:00,6.03,6.04,6.05,6.02,545000,3286600.0,0.0,0.0,6.04,0,,0.0,6.032,6.03,6.025500000000001,,,,,0.0,0.0,0.0,72.2222222222233,51.85185185185296,6.036666666666666,6.023717948717951,0.008333333333333508,103.58974358972044,0.0
32,HK.00151,2020-07-14 15:35:00,6.05,6.03,6.05,6.03,68000,410450.0,0.0,0.0,6.04,0,,-0.0016556291390728006,6.032,6.03,6.0265,,,,,0.0,0.0,0.0,66.66666666666765,62.96296296296391,6.036666666666666,6.024615384615387,0.008362919132149824,96.06918238991216,0.0
