t,code,time_key,open,close,high,low,volume,turnover,pe_ratio,turnover_rate,last_close,holding,orderPlaced,index_ret,ma5,ma10,ma20,ma60,diff,dea,macd,macdThreshold,macdScore,slowkdScore,slowk,slowd,tp,matp,mean_dev,CCI,CCIScore
0,HK.02628,2020-07-14 11:55:00,19.2,19.22,19.22,19.16,963000,18477800.0,0.0,0.0,19.2,0,,,,,,,,,,0.0,,0.0,,,19.2,,,,0.0
1,HK.02628,2020-07-14 12:00:00,19.22,19.16,19.22,19.16,381000,7311680.0,0.0,0.0,19.22,0,,-0.003121748178980144,,,,,,,,,,,,,19.179999999999996,,,,
2,HK.02628,2020-07-14 13:05:00,19.18,19.24,19.32,19.18,1580000,30410700.0,0.0,0.0,19.16,0,,0.0041753653444676075,,,,,,,,,,,,,19.246666666666666,,,,
3,HK.02628,2020-07-14 13:10:00,19.26,19.3,19.36,19.24,1254000,24196300.0,0.0,0.0,19.24,0,,0.0031185031185032575,,,,,,,,,,,,,19.299999999999997,,,,
4,HK.02628,2020-07-14 13:15:00,19.3,19.18,19.3,19.18,425000,8171280.0,0.0,0.0,19.3,0,,-0.006217616580310947,19.22,,,,,,,0.0,0.0,0.0,,,19.220000000000002,,,,
5,HK.02628,2020-07-14 13:20:00,19.18,19.2,19.24,19.16,563000,10815780.0,0.0,0.0,19.18,0,,0.0010427528675702735,19.216,,,,,,,0.0,0.0,0.0,,,19.2,,,,
6,HK.02628,2020-07-14 13:25:00,19.2,19.2,19.22,19.18,948000,18196900.0,0.0,0.0,19.2,0,,0.0,19.224,,,,,,,0.0,0.0,0.0,,,19.2,,,,
7,HK.02628,2020-07-14 13:30:00,19.18,19.24,19.26,19.12,1794000,34371620.0,0.0,0.0,19.2,0,,0.002083333333333215,19.224,,,,,,,0.0,0.0,0.0,,,19.206666666666667,,,,
8,HK.02628,2020-07-14 13:35:00,19.24,19.22,19.26,19.22,251000,4827120.0,0.0,0.0,19.24,0,,-0.0010395010395010118,19.208000000000002,,,,,,,0.0,0.0,0.0,,,19.233333333333334,,,,
9,HK.02628,2020-07-14 13:40:00,19.22,19.2,19.24,19.18,566000,10875220.0,0.0,0.0,19.22,0,,-0.0010405827263266776,19.212000000000003,19.216,,,,,,0.0,0.0,0.0,,,19.206666666666667,,,,
10,HK.02628,2020-07-14 13:45:00,19.22,19.16,19.22,19.16,465000,8921820.0,0.0,0.0,19.2,0,,-0.002083333333333326,19.204,19.21,,,,,,0.0,0.0,0.0,,,19.179999999999996,,,,
11,HK.02628,2020-07-14 13:50:00,19.16,19.12,19.18,19.1,673000,12882080.0,0.0,0.0,19.16,0,,-0.0020876826722338038,19.188000000000002,19.206,,,,,,0.0,0.0,0.0,,,19.133333333333333,,,,
12,HK.02628,2020-07-14 13:55:00,19.14,19.12,19.14,19.06,809000,15452860.0,0.0,0.0,19.12,0,,0.0,19.164000000000005,19.194,,,,,,0.0,0.0,0.0,16.452991452991583,22.07977207977188,19.10666666666667,,,,
13,HK.02628,2020-07-14 14:00:00,19.12,19.12,19.14,19.08,764000,14594140.0,0.0,0.0,19.12,0,,0.0,19.144000000000005,19.176,,,,,,0.0,0.0,0.0,20.89743589743635,18.860398860398963,19.113333333333333,,,,
14,HK.02628,2020-07-14 14:05:00,19.12,19.2,19.2,19.1,865000,16561440.0,0.0,0.0,19.12,0,,0.004184100418409997,19.144000000000005,19.177999999999997,,,,,,0.0,0.0,0.0,41.66666666666691,26.339031339031617,19.166666666666668,,,,
15,HK.02628,2020-07-14 14:10:00,19.18,19.24,19.24,19.18,786000,15102280.0,0.0,0.0,19.2,0,,0.002083333333333215,19.160000000000004,19.182,,,,,,0.0,0.0,0.0,63.33333333333286,41.965811965812044,19.22,,,,
16,HK.02628,2020-07-14 14:15:00,19.24,19.2,19.32,19.18,661000,12727740.0,0.0,0.0,19.24,0,,-0.0020790020790020236,19.176000000000005,19.182,,,,,,0.0,0.0,0.0,71.28205128205055,58.760683760683435,19.23333333333333,,,,
17,HK.02628,2020-07-14 14:20:00,19.2,19.18,19.24,19.16,666000,12790300.0,0.0,0.0,19.2,0,,-0.0010416666666666075,19.188000000000006,19.176,,,,,,0.0,0.0,0.0,63.33333333333286,65.98290598290542,19.19333333333333,,,,
18,HK.02628,2020-07-14 14:25:00,19.18,19.26,19.28,19.18,753000,14467080.0,0.0,0.0,19.18,0,,0.004171011470281538,19.216000000000005,19.18,,,,,,0.0,0.0,0.0,58.97435897435918,64.5299145299142,19.240000000000002,,,,
19,HK.02628,2020-07-14 14:30:00,19.26,19.26,19.28,19.22,550000,10591220.0,0.0,0.0,19.26,0,,0.0,19.228000000000005,19.186,19.201,,,,,0.0,0.0,0.0,66.66666666666711,62.99145299145304,19.253333333333334,,,,
20,HK.02628,2020-07-14 14:35:00,19.28,19.2,19.28,19.18,904000,17395620.0,0.0,0.0,19.26,0,,-0.0031152647975078995,19.220000000000006,19.189999999999998,19.199999999999996,,,,,0.0,0.0,0.0,69.23076923076961,64.9572649572653,19.220000000000002,,,,
21,HK.02628,2020-07-14 14:40:00,19.2,19.16,19.2,19.14,1139000,21828080.0,0.0,0.0,19.2,0,,-0.002083333333333326,19.212000000000007,19.193999999999996,19.199999999999996,,,,,0.0,0.0,0.0,54.700854700855025,63.53276353276391,19.166666666666668,,,,
22,HK.02628,2020-07-14 14:45:00,19.16,19.18,19.2,19.12,745000,14273360.0,0.0,0.0,19.16,0,,0.0010438413361169019,19.212000000000007,19.199999999999996,19.196999999999996,,,,,0.0,0.0,0.0,41.1810411810411,55.037555037555244,19.166666666666668,,,,
23,HK.02628,2020-07-14 14:50:00,19.18,19.2,19.2,19.16,678000,13013420.0,0.0,0.0,19.18,0,,0.0010427528675702735,19.200000000000006,19.207999999999995,19.191999999999997,,,,,0.0,0.0,0.0,36.565656565656276,44.14918414918413,19.186666666666667,,,,
24,HK.02628,2020-07-14 14:55:00,19.2,19.22,19.22,19.2,435000,8359140.0,0.0,0.0,19.2,0,,0.0010416666666666075,19.192000000000004,19.209999999999997,19.193999999999996,,,,,0.0,0.0,0.0,42.12121212121137,39.955969955969586,19.213333333333335,,,,
25,HK.02628,2020-07-14 15:00:00,19.2,19.2,19.22,19.18,560000,10752080.0,0.0,0.0,19.22,0,,-0.0010405827263266776,19.192000000000004,19.205999999999996,19.193999999999996,,,,,0.0,0.0,0.0,46.66666666666574,41.78451178451113,19.2,19.199487179487182,0.030887573964496602,1.1068539804103095,
26,HK.02628,2020-07-14 15:05:00,19.2,19.2,19.22,19.18,637000,12230980.0,0.0,0.0,19.2,0,,0.0,19.200000000000006,19.205999999999996,19.193999999999996,,,,,0.0,0.0,0.0,49.99999999999894,46.26262626262536,19.2,19.199487179487186,0.030887573964495783,1.1068539804026707,0.0
27,HK.02628,2020-07-14 15:10:00,19.2,19.2,19.24,19.2,406000,7803920.0,0.0,0.0,19.2,0,,0.0,19.204000000000004,19.20799999999999,19.191999999999993,,,,,0.0,0.0,0.0,49.99999999999886,48.888888888887855,19.213333333333335,19.200769230769232,0.030512820512820775,27.45098039215614,0.0
28,HK.02628,2020-07-14 15:15:00,19.18,19.2,19.2,19.18,132000,2533060.0,0.0,0.0,19.2,0,,0.0,19.204000000000004,19.20199999999999,19.190999999999995,,,,,0.0,0.0,0.0,49.99999999999886,49.99999999999889,19.19333333333333,19.198717948717952,0.029270216962523923,-12.264150943409032,0.0
29,HK.02628,2020-07-14 15:20:00,19.18,19.2,19.2,19.18,1336000,25630800.0,0.0,0.0,19.2,0,,0.0,19.200000000000006,19.19599999999999,19.190999999999995,,,,,0.0,0.0,0.0,55.55555555555478,51.85185185185083,19.19333333333333,19.19461538461539,0.02621301775147891,-3.2605969400710277,0.0
30,HK.02628,2020-07-14 15:25:00,19.2,19.2,19.2,19.18,562000,10780560.0,0.0,0.0,19.2,0,,0.0,19.200000000000006,19.19599999999999,19.19299999999999,,,,,0.0,0.0,0.0,61.11111111111071,55.55555555555478,19.19333333333333,19.193589743589747,0.025364891518737664,-0.6739243131300751,0.0
31,HK.02628,2020-07-14 15:30:00,19.18,19.2,19.2,19.16,494000,9475560.0,0.0,0.0,19.2,0,,0.0,19.200000000000006,19.199999999999992,19.196999999999992,,,,,0.0,0.0,0.0,61.11111111111108,59.25925925925886,19.186666666666667,19.193076923076923,0.02546351084812602,-16.782855667439016,0.0
32,HK.02628,2020-07-14 15:35:00,19.18,19.16,19.18,19.16,612000,11734500.0,0.0,0.0,19.2,0,,-0.002083333333333326,19.192000000000004,19.19799999999999,19.19899999999999,,,,,0.0,0.0,0.0,38.88888888888886,53.70370370370355,19.166666666666668,19.191794871794876,0.0265088757396437,-63.194444444455286,0.0
33,HK.02628,2020-07-14 15:40:00,19.18,19.12,19.18,19.1,2014000,38545860.0,0.0,0.0,19.16,0,,-0.0020876826722338038,19.176000000000005,19.18999999999999,19.19899999999999,,,,,0.0,0.0,0.0,21.428571428571402,40.476190476190446,19.133333333333333,19.188974358974363,0.02861932938855925,-129.611762003231,-1.0
34,HK.02628,2020-07-14 15:45:00,19.1,19.04,19.1,18.98,4890000,93047360.0,0.0,0.0,19.12,0,,-0.004184100418410108,19.144000000000005,19.17199999999999,19.190999999999995,,,,,0.0,0.0,0.0,12.454212454212325,24.2572242572242,19.040000000000003,19.181538461538466,0.03400394477317425,-277.49419953597663,0.0
35,HK.02628,2020-07-14 15:50:00,19.02,19.02,19.06,18.96,2200000,41817340.0,0.0,0.0,19.04,0,,-0.0010504201680672232,19.108000000000004,19.153999999999993,19.179999999999993,,,,,0.0,0.0,0.0,19.59706959706938,17.826617826617706,19.013333333333332,19.17410256410257,0.04110453648915028,-260.7485604606724,0.0
36,HK.02628,2020-07-14 15:55:00,19.04,19.06,19.08,19.04,1260000,24004900.0,0.0,0.0,19.02,0,,0.002103049421661396,19.080000000000005,19.139999999999993,19.172999999999995,,,,,0.0,0.0,0.0,28.724053724053302,20.258445258445008,19.06,19.169487179487184,0.04597633136094564,-158.75875875877156,0.0
37,HK.02628,2020-07-14 16:00:00,19.06,19.1,19.1,19.02,5347000,102049640.0,0.0,0.0,19.06,0,,0.0020986358866736943,19.068000000000005,19.129999999999995,19.168999999999993,,,,,0.0,0.0,0.0,40.47619047619036,29.59910459910435,19.073333333333334,19.167179487179492,0.04863905325443669,-128.6293592863026,0.0
38,HK.02628,2020-07-15 09:35:00,19.5,19.5,19.64,19.42,4497000,87870700.0,0.0,0.0,19.1,0,,0.020942408376963373,19.144000000000005,19.159999999999997,19.180999999999994,,0.03895917434188334,-0.050611457312700024,0.17914126330916674,0.0,0.0,0.0,59.8039215686274,43.001388589623694,19.52,19.18307692307693,0.056213017751477724,399.5789473684253,1.0
39,HK.02628,2020-07-15 09:40:00,19.52,19.36,19.56,19.34,2236000,43457320.0,0.0,0.0,19.5,0,,-0.007179487179487243,19.208000000000006,19.176,19.185999999999996,,0.07340657274950146,-0.009272113958632859,0.16535737341626866,0.0,0.0,0.0,65.52287581699356,55.26766262060378,19.42,19.194871794871798,0.060749506903353664,247.05627705627333,0.0
40,HK.02628,2020-07-15 09:45:00,19.36,19.38,19.44,19.32,674000,13066000.0,0.0,0.0,19.36,0,,0.0010330578512396382,19.28000000000001,19.194,19.194999999999997,,0.09929185002930652,0.02691587403734693,0.14475195198391916,0.0,0.0,0.0,66.66666666666647,63.99782135076248,19.38,19.203076923076924,0.06788954635108542,173.73619988378456,0.0
41,HK.02628,2020-07-15 09:50:00,19.36,19.26,19.38,19.26,1061000,20501580.0,0.0,0.0,19.38,0,,-0.006191950464396134,19.320000000000007,19.2,19.199999999999996,,0.08041791627901063,0.044749888117901496,0.07133605632221826,0.0,0.0,0.0,54.90196078431361,62.36383442265788,19.3,19.206153846153846,0.07167652859960587,87.28673637864638,0.0
42,HK.02628,2020-07-15 09:55:00,19.24,19.36,19.46,19.24,1636000,31651000.0,0.0,0.0,19.26,0,,0.005192107995846129,19.372000000000007,19.22,19.208999999999996,,0.0948228854681048,0.06144088723463593,0.06676399646693774,0.0,0.0,0.0,54.90196078431361,58.82352941176456,19.353333333333335,19.21076923076923,0.07735700197238703,122.86248512663738,1.0
