t,code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close,holding,orderPlaced,index_ret,ma5,ma10,ma20,ma60,diff,dea,macd,macdThreshold,macdScore,slowkdScore,slowk,slowd,tp,matp,mean_dev,CCI,CCIScore
147,HK.MHImain,2020-01-02,28360.0,28600.0,28629.0,28210.0,0.0,0.0,58082,1654980165.0,1.1458480690338095,28276.0,1,1.0,0.011458480690338169,28276.8,28072.4,27391.8,26975.583333333332,952.5696786515182,854.7655285271397,195.6083002487569,258.35685599341326,0.0,0.0,86.57215267713006,87.98189183533533,28479.666666666668,27357.216666666696,736.0066666666607,101.67027472577067,1.0
149,HK.MHImain,2020-01-06,28430.0,28194.0,28534.0,28075.0,0.0,0.0,91398,2587840163.0,-0.847547037102163,28435.0,0,-1.0,-0.008475470371021587,28385.0,28161.7,27600.0,27060.683333333334,839.3836439413099,867.427467037153,-56.08764619168619,258.35685599341326,-1.0,0.0,64.3912800644191,75.82522310236634,28267.666666666668,27577.55000000003,655.2849999999913,70.21033256945692,-1.0
153,HK.MHImain,2020-01-10,28625.0,28662.0,28725.0,28511.0,0.0,0.0,65545,1875545623.0,0.13275572945779765,28624.0,1,1.0,0.0013275572945778968,28382.8,28386.5,28001.2,27202.366666666665,804.3403731690996,792.7195753044367,23.24159572932581,792.7195753044367,0.0,0.0,55.55758754114769,46.670458595770334,28632.666666666668,27973.133333333353,401.466666666667,109.52064651831853,1.0
159,HK.MHImain,2020-01-20,29080.0,28694.0,29210.0,28685.0,0.0,0.0,79644,2309210924.0,-1.279845868024496,29066.0,0,-1.0,-0.012798458680244984,28841.6,28688.7,28425.2,27418.583333333332,802.7124457416685,849.6426965614093,-93.86050163948153,792.7195753044367,-1.0,0.0,74.93294318458912,73.76249695196289,28863.0,28433.300000000017,322.53333333333376,88.81769326167465,-1.0
162,HK.MHImain,2020-01-23,28308.0,27815.0,28333.0,27703.0,0.0,0.0,111557,3118987633.0,-1.776255385267321,28318.0,-1,-1.0,-0.017762553852673224,28360.4,28587.1,28447.1,27479.966666666667,227.1622404693735,497.3723895152552,-540.4202980917634,792.7195753044367,0.0,0.0,15.51828584603819,33.426620374803605,27950.333333333332,28466.550000000017,291.7716666666687,-117.94991898155105,-1.0
169,HK.MHImain,2020-02-05,26775.0,26734.0,26937.0,26526.0,0.0,0.0,119222,3184492281.0,-0.13820925628478578,26771.0,0,1.0,-0.0013820925628478253,26459.0,27138.5,27913.6,27426.833333333332,-858.0338565642087,-725.64310948952,-264.7814941493773,792.7195753044367,0.0,0.0,24.96119648111993,14.295276507979962,26732.333333333332,27934.350000000013,809.1783333333293,-99.03187115050345,1.0
186,HK.MHImain,2020-02-28,26687.0,26178.0,26834.0,25923.0,0.0,0.0,195996,5141280799.0,-1.8742034635280007,26678.0,-1,-1.0,-0.018742034635280014,26574.4,27035.3,27127.95,27534.65,-696.6693944127765,-502.5620701763834,-388.21464847278617,792.7195753044367,0.0,0.0,18.34544057444943,18.61857034989708,26311.666666666668,27113.150000000016,446.501666666665,-119.66858404162002,-1.0
190,HK.MHImain,2020-03-05,26163.0,26699.0,26768.0,26163.0,0.0,0.0,129434,3422859510.0,2.0994263862332696,26150.0,0,1.0,0.020994263862332607,26322.6,26551.6,27045.15,27538.633333333335,-650.7488625727674,-679.1876969928963,56.87766884025791,792.7195753044367,1.0,0.0,42.50892222478718,33.562865784982755,26543.333333333332,27030.83333333335,523.4833333333318,-62.08411601770444,1.0
192,HK.MHImain,2020-03-09,26020.0,24845.0,26048.0,24813.0,0.0,0.0,186559,4713814960.0,-4.490062660977204,26013.0,-1,-1.0,-0.04490062660977201,26003.0,26249.8,26869.7,27502.4,-1104.3235610685952,-834.0531740010063,-540.5407741351778,792.7195753044367,0.0,0.0,33.17613389410682,39.46782948924406,25235.333333333332,26886.016666666685,623.55,-176.4823278895948,-1.0
213,HK.MHImain,2020-04-07,23748.0,24417.0,24438.0,23685.0,0.0,0.0,126277,3026695906.0,2.8733937223509582,23735.0,0,1.0,0.028733937223509587,23508.4,23455.6,23226.4,25894.383333333335,-678.7776587513872,-1090.8958375614882,824.2363576202019,792.7195753044367,0.0,0.0,81.49742241605627,73.2930899314751,24180.0,23209.216666666678,589.883333333333,109.71472701758229,1.0
218,HK.MHImain,2020-04-16,24035.0,23948.0,24124.0,23793.0,0.0,0.0,107775,2581706642.0,-0.4241164241164241,24050.0,-1,-1.0,-0.004241164241164275,24076.6,23792.5,23303.9,25492.883333333335,-300.3813836076588,-438.1848866269763,275.60700603863506,792.7195753044367,0.0,0.0,76.79838129332023,78.20821430591366,23955.0,23281.15000000001,600.1016666666653,74.85953768944627,-1.0
219,HK.MHImain,2020-04-17,23942.0,24358.0,24686.0,23828.0,0.0,0.0,116606,2838230506.0,1.7120427593118424,23948.0,0,1.0,0.017120427593118492,24193.6,23934.7,23421.55,25420.616666666665,-190.6398727943706,-355.66988201610775,330.0600184434743,792.7195753044367,0.0,0.0,73.96494265152468,77.29948967494947,24290.666666666668,23371.983333333344,595.9183333333319,102.77508196965755,1.0
220,HK.MHImain,2020-04-20,24350.0,24288.0,24474.0,24175.0,0.0,0.0,100043,2435223878.0,-0.28737991624928155,24358.0,-1,-1.0,-0.0028737991624928627,24209.2,24036.7,23544.1,25360.266666666666,-137.4574424157363,-282.9324021493173,290.949919467162,792.7195753044367,0.0,0.0,75.33774889632963,75.3670242803915,24312.333333333332,23501.43333333334,550.4999999999997,98.20163487738311,-1.0
227,HK.MHImain,2020-04-29,24580.0,24501.0,24778.0,24441.0,0.0,0.0,91225,2243888221.0,-0.2889467686797981,24572.0,0,1.0,-0.0028894676867979863,24234.8,24137.7,23953.35,25007.133333333335,50.91600555353216,-99.58691015710357,301.00583142127147,792.7195753044367,0.0,0.0,79.33065813076018,63.842781592132106,24573.333333333332,23919.966666666674,347.27333333333155,125.4279370076714,1.0
228,HK.MHImain,2020-05-04,24505.0,23370.0,24758.0,23305.0,0.0,0.0,94039,2240997441.0,-4.616138116811559,24501.0,-1,-1.0,-0.046161381168115634,24109.2,24079.9,23936.2,24950.45,-214.46447574748163,-137.87943202056292,-153.17008745383743,792.7195753044367,0.0,0.0,58.3515265773805,67.10857261038969,23811.0,23937.566666666673,326.15333333333183,-25.87058575039829,-1.0
233,HK.MHImain,2020-05-11,24129.0,24476.0,24700.0,24104.0,0.0,0.0,75078,1836715887.0,1.5096217650962176,24112.0,0,1.0,0.01509621765096214,24051.2,24080.2,24071.9,24687.216666666667,-26.533130446499854,-139.14467240937194,225.22308392574416,792.7195753044367,0.0,0.0,58.984375,50.33998842592592,24426.666666666668,24079.750000000007,208.59166666666732,110.8758472827005,1.0
234,HK.MHImain,2020-05-12,24470.0,24144.0,24470.0,24001.0,0.0,0.0,92456,2234595281.0,-1.3564307893446643,24476.0,-1,-1.0,-0.013564307893446648,24129.0,24111.5,24090.45,24626.783333333333,-27.208106670233974,-101.83248382965928,149.24875431885062,792.7195753044367,0.0,0.0,65.234375,58.03674768518517,24205.0,24087.533333333344,213.3333333333332,36.708333333330096,-1.0
238,HK.MHImain,2020-05-18,23684.0,23922.0,23935.0,23388.0,0.0,0.0,101440,2401736102.0,1.0304924402398852,23678.0,0,1.0,0.01030492440239894,23899.6,23975.4,24027.65,24371.166666666668,-214.70225645715982,-174.57920680996514,-80.24609929438935,792.7195753044367,0.0,0.0,33.25362346251344,39.39029471327086,23748.333333333332,24026.93333333334,224.82666666666736,-82.61178982327381,1.0
240,HK.MHImain,2020-05-20,24322.0,24436.0,24484.0,24259.0,0.0,0.0,80826,1967907314.0,0.39853732692386706,24339.0,1,1.0,0.003985373269238757,24011.8,24071.7,24034.1,24267.516666666666,35.47873911354691,-83.23328566546104,237.4240495580159,792.7195753044367,0.0,0.0,64.35467479674797,48.43498315996294,24393.0,24028.65000000001,226.71500000000069,107.13891890699489,1.0
241,HK.MHImain,2020-05-21,24442.0,24134.0,24636.0,24114.0,0.0,0.0,107134,2608225305.0,-1.2358814863316419,24436.0,0,-1.0,-0.01235881486331647,24101.8,24099.5,24054.1,24216.266666666666,22.766160026061698,-47.90013710162013,141.33259425536366,792.7195753044367,0.0,0.0,69.7408536585366,60.59739322530399,24294.666666666668,24048.30000000001,235.1633333333344,69.84270979508047,-1.0
242,HK.MHImain,2020-05-22,24124.0,22709.0,24146.0,22698.0,0.0,0.0,182050,4247551033.0,-5.9045330239496145,24134.0,-1,-1.0,-0.0590453302394961,23908.0,23959.2,23995.8,24150.3,-381.49298532579996,-159.0977531763467,-444.7904642989065,792.7195753044367,0.0,0.0,45.768466779095036,59.95466507812652,23184.333333333332,24020.500000000007,261.4666666666666,-213.1990481047107,-1.0
248,HK.MHImain,2020-06-01,22757.0,23419.0,23660.0,22614.0,0.0,0.0,131781,3067404102.0,2.868312395677765,22766.0,0,1.0,0.028683123956777745,23125.4,23412.9,23694.15,23812.3,-607.7515451105173,-604.8693524238444,-5.764385373345931,792.7195753044367,0.0,0.0,27.00427612196185,26.663329327416548,23231.0,23693.71666666668,452.51166666666506,-68.1701269826094,1.0
252,HK.MHImain,2020-06-05,24295.0,24702.0,24781.0,24143.0,0.0,0.0,118176,2879704907.0,1.6919846856860563,24291.0,1,1.0,0.016919846856860543,24117.0,23567.7,23763.45,23703.283333333333,278.2270791687042,-66.7655351115408,689.98522856049,792.7195753044367,0.0,0.0,91.98018774329474,81.40815188471805,24542.0,23760.16666666668,499.4666666666666,104.3557572521785,1.0
256,HK.MHImain,2020-06-11,25000.0,24361.0,25080.0,24328.0,0.0,0.0,130547,3232364476.0,-2.6105380986647475,25014.0,0,-1.0,-0.026105380986647497,24732.0,24230.9,23892.65,23710.35,517.9143294847199,423.37613305997417,189.07639284949153,792.7195753044367,0.0,0.0,81.92624501484187,87.21032554955498,24589.666666666668,23894.433333333345,633.7333333333333,73.1362648152033,-1.0
