t,code,time_key,open,close,high,low,volume,turnover,pe_ratio,turnover_rate,last_close,holding,orderPlaced,index_ret,ma5,ma10,ma20,ma60,diff,dea,macd,macdThreshold,macdScore,slowkdScore,slowk,slowd,tp,matp,mean_dev,CCI,CCIScore,DailyReturn,CumulativeReturn
0,HK.MHImain,2018-07-13 00:00:00,28501.0,28564.0,28769.0,28461.0,68466,1954463919.0,0.0,0.0,28493.0,0,,,,,,,,,,0.0,,0.0,,,28598.0,,,,0.0,0.0,1.0
1,HK.MHImain,2018-07-16 00:00:00,28565.0,28506.0,28701.0,28300.0,86554,2461984543.0,0.0,0.0,28564.0,0,,-0.0020305279372636598,,,,,,,,,,,,,28502.333333333332,,,,,0.0,1.0
2,HK.MHImain,2018-07-17 00:00:00,28527.0,28195.0,28535.0,28122.0,73145,2066655045.0,0.0,0.0,28506.0,0,,-0.010909983863046424,,,,,,,,,,,,,28284.0,,,,,0.0,1.0
3,HK.MHImain,2018-07-18 00:00:00,28190.0,28079.0,28409.0,28013.0,81941,2308215020.0,0.0,0.0,28195.0,0,,-0.004114204646213815,,,,,,,,,,,,,28167.0,,,,,0.0,1.0
4,HK.MHImain,2018-07-19 00:00:00,28082.0,28041.0,28314.0,27953.0,80861,2270200919.0,0.0,0.0,28079.0,0,,-0.0013533245485950474,28277.0,,,,,,,0.0,0.0,0.0,,,28102.666666666668,,,,,0.0,1.0
5,HK.MHImain,2018-07-20 00:00:00,28043.0,28230.0,28298.0,27732.0,112449,3144390155.0,0.0,0.0,28041.0,0,,0.006740130523162469,28210.2,,,,,,,0.0,0.0,0.0,,,28086.666666666668,,,,,0.0,1.0
6,HK.MHImain,2018-07-23 00:00:00,28225.0,28210.0,28381.0,28021.0,101203,2851925360.0,0.0,0.0,28230.0,0,,-0.000708466170740385,28151.0,,,,,,,0.0,0.0,0.0,,,28204.0,,,,,0.0,1.0
7,HK.MHImain,2018-07-24 00:00:00,28206.0,28646.0,28711.0,28165.0,73675,2096658914.0,0.0,0.0,28210.0,0,,0.015455512229705759,28241.2,,,,,,,0.0,0.0,0.0,,,28507.333333333332,,,,,0.0,1.0
8,HK.MHImain,2018-07-25 00:00:00,28649.0,28910.0,28974.0,28649.0,73089,2103275728.0,0.0,0.0,28646.0,0,,0.009215946379948381,28407.4,,,,,,,0.0,0.0,0.0,,,28844.333333333332,,,,,0.0,1.0
9,HK.MHImain,2018-07-26 00:00:00,28926.0,28739.0,29113.0,28615.0,81006,2331863414.0,0.0,0.0,28910.0,0,,-0.005914908336215885,28547.0,28412.0,,,,,,0.0,0.0,0.0,,,28822.333333333332,,,,,0.0,1.0
10,HK.MHImain,2018-07-27 00:00:00,28740.0,28729.0,28836.0,28588.0,57149,1640180563.0,0.0,0.0,28739.0,0,,-0.00034795921917951667,28646.8,28428.5,,,,,,0.0,0.0,0.0,,,28717.666666666668,,,,,0.0,1.0
11,HK.MHImain,2018-07-30 00:00:00,28720.0,28644.0,28838.0,28561.0,15476,442813662.0,0.0,0.0,28729.0,0,,-0.0029586828640050244,28733.6,28442.3,,,,,,0.0,0.0,0.0,,,28681.0,,,,,0.0,1.0
12,HK.MHImain,2018-07-31 00:00:00,28679.0,28434.0,28795.0,28423.0,65528,1870373953.0,0.0,0.0,28644.0,0,,-0.007331378299120228,28691.2,28466.2,,,,,,0.0,0.0,0.0,63.021964759835846,71.13072137016836,28550.666666666668,,,,,0.0,1.0
13,HK.MHImain,2018-08-01 00:00:00,28440.0,28288.0,28827.0,28162.0,90774,2581751925.0,0.0,0.0,28434.0,0,,-0.005134697896884033,28566.8,28487.1,,,,,,0.0,0.0,0.0,52.377504223992254,61.92774961782924,28425.666666666668,,,,,0.0,1.0
