t,code,time_key,open,close,high,low,volume,turnover,pe_ratio,turnover_rate,last_close,holding,orderPlaced,index_ret,ma5,ma10,ma20,ma60,diff,dea,macd,macdThreshold,macdScore,slowkdScore,slowk,slowd,tp,matp,mean_dev,CCI,CCIScore,DailyReturn,CumulativeReturn
0,HK.MHImain,2020-07-21 01:34:00,25232.0,25229.0,25232.0,25229.0,2,50461.0,0.0,0.0,25231.0,0,,,,,,,,,,0.0,,0.0,,,25230.0,,,,0.0,0.0,1.0
1,HK.MHImain,2020-07-21 01:35:00,25230.0,25237.0,25237.0,25230.0,38,958940.0,0.0,0.0,25229.0,0,,0.00031709540608027,,,,,,,,,,,,,25234.666666666668,,,,,0.0,1.0
2,HK.MHImain,2020-07-21 01:36:00,25231.0,25233.0,25233.0,25231.0,4,100928.0,0.0,0.0,25237.0,0,,-0.00015849744422868906,,,,,,,,,,,,,25232.333333333332,,,,,0.0,1.0
3,HK.MHImain,2020-07-21 01:37:00,25235.0,25233.0,25236.0,25233.0,6,151406.0,0.0,0.0,25233.0,0,,0.0,,,,,,,,,,,,,25234.0,,,,,0.0,1.0
4,HK.MHImain,2020-07-21 01:38:00,25236.0,25236.0,25236.0,25236.0,3,75708.0,0.0,0.0,25233.0,0,,0.00011889192723812947,25233.6,,,,,,,0.0,0.0,0.0,,,25236.0,,,,,0.0,1.0
5,HK.MHImain,2020-07-21 01:39:00,25236.0,25236.0,25236.0,25236.0,3,75708.0,0.0,0.0,25236.0,0,,0.0,25235.0,,,,,,,0.0,0.0,0.0,,,25236.0,,,,,0.0,1.0
6,HK.MHImain,2020-07-21 01:40:00,25235.0,25236.0,25236.0,25235.0,4,100943.0,0.0,0.0,25236.0,0,,0.0,25234.8,,,,,,,0.0,0.0,0.0,,,25235.666666666668,,,,,0.0,1.0
7,HK.MHImain,2020-07-21 01:41:00,25236.0,25244.0,25248.0,25236.0,64,1615560.0,0.0,0.0,25236.0,0,,0.0003170074496749997,25237.0,,,,,,,0.0,0.0,0.0,,,25242.666666666668,,,,,0.0,1.0
8,HK.MHImain,2020-07-21 01:42:00,25244.0,25247.0,25249.0,25244.0,35,883649.0,0.0,0.0,25244.0,0,,0.00011884012042462366,25239.8,,,,,,,0.0,0.0,0.0,,,25246.666666666668,,,,,0.0,1.0
9,HK.MHImain,2020-07-21 01:43:00,25247.0,25246.0,25247.0,25243.0,14,353442.0,0.0,0.0,25247.0,0,,-3.960866637620075e-05,25241.8,25237.7,,,,,,0.0,0.0,0.0,,,25245.333333333332,,,,,0.0,1.0
10,HK.MHImain,2020-07-21 01:44:00,25246.0,25246.0,25246.0,25245.0,5,126229.0,0.0,0.0,25246.0,0,,0.0,25243.8,25239.4,,,,,,0.0,0.0,0.0,,,25245.666666666668,,,,,0.0,1.0
11,HK.MHImain,2020-07-21 01:45:00,25249.0,25247.0,25249.0,25246.0,7,176733.0,0.0,0.0,25246.0,0,,3.96102352848704e-05,25246.0,25240.4,,,,,,0.0,0.0,0.0,,,25247.333333333332,,,,,0.0,1.0
12,HK.MHImain,2020-07-21 01:46:00,25248.0,25245.0,25248.0,25245.0,7,176727.0,0.0,0.0,25247.0,0,,-7.92173327524015e-05,25246.2,25241.6,,,,,,0.0,0.0,0.0,80.75396825396827,83.87218045112782,25246.0,,,,,0.0,1.0
13,HK.MHImain,2020-07-21 01:47:00,25246.0,25246.0,25246.0,25246.0,2,50492.0,0.0,0.0,25245.0,0,,3.9611804317774e-05,25246.0,25242.9,,,,,,0.0,0.0,0.0,79.16666666666667,81.64508493455862,25246.0,,,,,0.0,1.0
14,HK.MHImain,2020-07-21 01:48:00,25244.0,25243.0,25244.0,25243.0,2,50487.0,0.0,0.0,25246.0,0,,-0.00011883070585438915,25245.4,25243.6,,,,,,0.0,0.0,0.0,69.04761904761905,76.32275132275133,25243.333333333332,,,,,0.0,1.0
