t,code,time_key,open,close,high,low,volume,turnover,pe_ratio,turnover_rate,last_close,holding,orderPlaced,index_ret,ma5,ma10,ma20,ma60,diff,dea,macd,macdThreshold,macdScore,slowkdScore,slowk,slowd,tp,matp,mean_dev,CCI,CCIScore,DailyReturn,CumulativeReturn
0,HK.MHImain,2020-06-08 11:15:00,24832.0,24831.0,24885.0,24779.0,12933,321187908.0,0.0,0.0,24830.0,0,,,,,,,,,,0.0,,0.0,,,24831.666666666668,,,,0.0,0.0,1.0
1,HK.MHImain,2020-06-08 12:00:00,24829.0,24732.0,24850.0,24716.0,6634,164343736.0,0.0,0.0,24831.0,0,,-0.003986951794128335,,,,,,,,,,,,,24766.0,,,,,0.0,1.0
2,HK.MHImain,2020-06-08 14:00:00,24733.0,24743.0,24748.0,24598.0,12114,298858033.0,0.0,0.0,24732.0,0,,0.0004447679120167525,,,,,,,,,,,,,24696.333333333332,,,,,0.0,1.0
3,HK.MHImain,2020-06-08 15:00:00,24743.0,24707.0,24745.0,24668.0,6746,166667435.0,0.0,0.0,24743.0,0,,-0.0014549569575232901,,,,,,,,,,,,,24706.666666666668,,,,,0.0,1.0
4,HK.MHImain,2020-06-08 16:00:00,24709.0,24660.0,24737.0,24622.0,8920,220200063.0,0.0,0.0,24707.0,0,,-0.0019022948961833208,24734.6,,,,,,,0.0,0.0,0.0,,,24673.0,,,,,0.0,1.0
5,HK.MHImain,2020-06-08 16:30:00,24661.0,24736.0,24743.0,24654.0,3564,88038866.0,0.0,0.0,24660.0,0,,0.003081914030819144,24715.6,,,,,,,0.0,0.0,0.0,,,24711.0,,,,,0.0,1.0
6,HK.MHImain,2020-06-08 18:15:00,24744.0,24780.0,24864.0,24744.0,4342,107750103.0,0.0,0.0,24736.0,0,,0.0017787839586027587,24725.2,,,,,,,0.0,0.0,0.0,,,24796.0,,,,,0.0,1.0
7,HK.MHImain,2020-06-08 19:15:00,24780.0,24794.0,24828.0,24765.0,1838,45581440.0,0.0,0.0,24780.0,0,,0.0005649717514124575,24735.4,,,,,,,0.0,0.0,0.0,,,24795.666666666668,,,,,0.0,1.0
8,HK.MHImain,2020-06-08 20:15:00,24795.0,24798.0,24840.0,24793.0,1783,44248500.0,0.0,0.0,24794.0,0,,0.00016132935387602743,24753.6,,,,,,,0.0,0.0,0.0,,,24810.333333333332,,,,,0.0,1.0
9,HK.MHImain,2020-06-08 21:15:00,24797.0,24839.0,24852.0,24790.0,2064,51249227.0,0.0,0.0,24798.0,0,,0.001653359141866373,24789.4,24762.0,,,,,,0.0,0.0,0.0,,,24827.0,,,,,0.0,1.0
10,HK.MHImain,2020-06-08 22:15:00,24840.0,24773.0,24848.0,24747.0,4731,117317084.0,0.0,0.0,24839.0,0,,-0.0026571117999919514,24796.8,24756.2,,,,,,0.0,0.0,0.0,,,24789.333333333332,,,,,0.0,1.0
11,HK.MHImain,2020-06-08 23:15:00,24772.0,24754.0,24776.0,24682.0,5051,124914010.0,0.0,0.0,24773.0,0,,-0.0007669640334234673,24791.6,24758.4,,,,,,0.0,0.0,0.0,,,24737.333333333332,,,,,0.0,1.0
12,HK.MHImain,2020-06-09 00:15:00,24756.0,24738.0,24777.0,24731.0,1979,48990063.0,0.0,0.0,24754.0,0,,-0.0006463601842126021,24780.4,24757.9,,,,,,0.0,0.0,0.0,56.089604175728574,67.253625901076,24748.666666666668,,,,,0.0,1.0
13,HK.MHImain,2020-06-09 01:15:00,24735.0,24801.0,24813.0,24735.0,1131,28011603.0,0.0,0.0,24738.0,0,,0.002546689303905003,24781.0,24767.3,,,,,,0.0,0.0,0.0,57.4931129476584,61.29828703991384,24783.0,,,,,0.0,1.0
14,HK.MHImain,2020-06-09 02:15:00,24801.0,24837.0,24844.0,24793.0,821,20378686.0,0.0,0.0,24801.0,0,,0.0014515543728075286,24780.6,24785.0,,,,,,0.0,0.0,0.0,67.69957315411861,60.42743009250186,24824.666666666668,,,,,0.0,1.0
15,HK.MHImain,2020-06-09 03:00:00,24837.0,24879.0,24880.0,24828.0,555,13796757.0,0.0,0.0,24837.0,0,,0.0016910254861697283,24801.8,24799.3,,,,,,0.0,0.0,0.0,84.88659488659488,70.02642699612396,24862.333333333332,,,,,0.0,1.0
16,HK.MHImain,2020-06-09 10:15:00,24775.0,25048.0,25065.0,24722.0,24976,622249034.0,0.0,0.0,24879.0,0,,0.0067928775272319,24860.6,24826.1,,,,,,0.0,0.0,0.0,93.40704745404484,81.99773849825277,24945.0,,,,,0.0,1.0
17,HK.MHImain,2020-06-09 11:15:00,25047.0,24981.0,25083.0,24931.0,13243,330932718.0,0.0,0.0,25048.0,0,,-0.0026748642606195805,24909.2,24844.8,,,,,,0.0,0.0,0.0,89.8732994065811,89.38898058240693,24998.333333333332,,,,,0.0,1.0
18,HK.MHImain,2020-06-09 12:00:00,24980.0,25019.0,25055.0,24966.0,4473,111912087.0,0.0,0.0,24981.0,0,,0.0015211560786196898,24952.8,24866.9,,,,,,0.0,0.0,0.0,84.72161632472346,89.3339877284498,25013.333333333332,,,,,0.0,1.0
19,HK.MHImain,2020-06-09 14:00:00,25023.0,25142.0,25170.0,25017.0,10336,259500008.0,0.0,0.0,25019.0,0,,0.004916263639633822,25013.8,24897.2,24829.6,,,,,0.0,0.0,0.0,84.28859545126257,86.29450372752235,25109.666666666668,24821.266666666666,84.18666666666668,228.38137472283927,,0.0,1.0
20,HK.MHImain,2020-06-09 15:00:00,25143.0,25129.0,25180.0,25108.0,5900,148313456.0,0.0,0.0,25142.0,0,,-0.0005170630816959676,25063.8,24932.8,24844.5,,,,,0.0,0.0,0.0,89.05560805076817,86.02193994225138,25139.0,24836.63333333333,104.78666666666577,192.36968231751572,0.0,-0.0,1.0
21,HK.MHImain,2020-06-09 16:00:00,25130.0,24953.0,25183.0,24932.0,12620,316128852.0,0.0,0.0,25129.0,0,,-0.007003860081976954,25044.8,24952.7,24855.55,,,,,0.0,0.0,0.0,77.74512792425871,83.69644380876314,25022.666666666668,24849.466666666667,114.40666666666675,100.9265194335998,0.0,-0.0,1.0
22,HK.MHImain,2020-06-09 16:30:00,24953.0,24847.0,24973.0,24823.0,6534,162709035.0,0.0,0.0,24953.0,0,,-0.004247986214082511,25018.0,24963.6,24860.75,,,,,0.0,0.0,0.0,55.36268538428265,74.0544737864365,24881.0,24858.7,110.17333333333336,13.493888418249588,0.0,-0.0,1.0
23,HK.MHImain,2020-06-09 18:15:00,24847.0,24795.0,24909.0,24768.0,5206,129314523.0,0.0,0.0,24847.0,0,,-0.0020928079848674397,24973.2,24963.0,24865.15,,,,,0.0,0.0,0.0,31.019522776572682,54.70911202837133,24824.0,24864.566666666666,105.7033333333331,-25.58523330495146,0.0,-0.0,1.0
24,HK.MHImain,2020-06-09 19:15:00,24796.0,24857.0,24884.0,24795.0,2462,61156366.0,0.0,0.0,24795.0,0,,0.0025005041338979073,24916.2,24965.0,24875.0,,,,,0.0,0.0,0.0,24.078091106290685,36.820099755715326,24845.333333333332,24873.18333333333,99.67166666666598,-18.627828035381995,0.0,0.0,1.0
25,HK.MHImain,2020-06-09 20:15:00,24856.0,24894.0,24919.0,24837.0,2468,61408169.0,0.0,0.0,24857.0,0,,0.0014885143018064095,24869.2,24966.5,24882.9,,,,,0.0,0.0,0.0,25.160250546655178,26.752621476506164,24883.333333333332,24881.799999999996,93.87333333333208,1.0889378121841535,0.0,0.0,1.0
26,HK.MHImain,2020-06-09 21:15:00,24891.0,24840.0,24907.0,24821.0,1988,49406497.0,0.0,0.0,24894.0,0,,-0.002169197396963085,24846.6,24945.7,24885.9,,,,,0.0,0.0,0.0,25.665002744165392,24.967781465703734,24856.0,24884.799999999996,91.91999999999844,-20.887728459527217,0.0,-0.0,1.0
27,HK.MHImain,2020-06-09 22:15:00,24840.0,24795.0,24864.0,24720.0,7870,195282906.0,0.0,0.0,24840.0,0,,-0.0018115942028985588,24836.2,24927.1,24885.95,,,,,0.0,0.0,0.0,21.303182492388572,24.042811927736363,24793.0,24884.666666666664,91.99999999999928,-66.42512077294563,0.0,-0.0,1.0
