t,code,time_key,open,close,high,low,volume,turnover,pe_ratio,turnover_rate,last_close,holding,orderPlaced,index_ret,UpperBand,LowerBand,MiddleBand,diff,dea,macd,macdThreshold,macdScore,slowkdScore,slowk,slowd,tp,matp,mean_dev,CCI,CCIScore
0,HK.MHImain,2020-07-23 23:40:00,25159.0,25170.0,25174.0,25152.0,169,4252376.0,0.0,0.0,25162.0,0,,,,,,,,,0.0,,0.0,,,25165.333333333332,,,,0.0
1,HK.MHImain,2020-07-23 23:45:00,25170.0,25165.0,25180.0,25155.0,196,4933178.0,0.0,0.0,25170.0,0,,-0.00019864918553835764,,,,,,,,,,,,25166.666666666668,,,,
2,HK.MHImain,2020-07-23 23:50:00,25166.0,25159.0,25172.0,25159.0,113,2843514.0,0.0,0.0,25165.0,0,,-0.00023842638585336307,,,,,,,,,,,,25163.333333333332,,,,
3,HK.MHImain,2020-07-23 23:55:00,25160.0,25162.0,25166.0,25148.0,170,4276317.0,0.0,0.0,25159.0,0,,0.00011924162327603405,,,,,,,,,,,,25158.666666666668,,,,
4,HK.MHImain,2020-07-24 00:00:00,25164.0,25150.0,25165.0,25146.0,117,2942910.0,0.0,0.0,25162.0,0,,-0.0004769096256259653,25174.550655406052,25147.84934459395,25161.2,,,,0.0,0.0,0.0,,,25153.666666666668,,,,
5,HK.MHImain,2020-07-24 00:05:00,25150.0,25127.0,25152.0,25127.0,181,4550504.0,0.0,0.0,25150.0,0,,-0.0009145129224652493,25180.09836359357,25125.101636406427,25152.6,,,,0.0,0.0,0.0,,,25135.333333333332,,,,
6,HK.MHImain,2020-07-24 00:10:00,25127.0,25108.0,25139.0,25108.0,338,8491908.0,0.0,0.0,25127.0,0,,-0.0007561587137342451,25182.48728617706,25099.91271382294,25141.2,,,,0.0,0.0,0.0,,,25118.333333333332,,,,
7,HK.MHImain,2020-07-24 00:15:00,25108.0,25118.0,25121.0,25103.0,191,4796630.0,0.0,0.0,25108.0,0,,0.0003982794328500905,25173.15968127601,25092.84031872399,25133.0,,,,0.0,0.0,0.0,,,25114.0,,,,
8,HK.MHImain,2020-07-24 00:20:00,25117.0,25112.0,25119.0,25104.0,151,3791831.0,0.0,0.0,25118.0,0,,-0.00023887252169763062,25152.879759038366,25093.120240961634,25123.0,,,,0.0,0.0,0.0,,,25111.666666666668,,,,
9,HK.MHImain,2020-07-24 00:25:00,25111.0,25105.0,25129.0,25100.0,257,6454625.0,0.0,0.0,25112.0,0,,-0.0002787511946479304,25129.646085778582,25098.353914221418,25114.0,,,,0.0,0.0,0.0,,,25111.333333333332,,,,
10,HK.MHImain,2020-07-24 00:30:00,25105.0,25101.0,25117.0,25092.0,236,5924755.0,0.0,0.0,25105.0,0,,-0.0001593308105954927,25120.489311371646,25097.110688628352,25108.8,,,,0.0,0.0,0.0,,,25103.333333333332,,,,
11,HK.MHImain,2020-07-24 00:35:00,25102.0,25089.0,25109.0,25087.0,198,4969260.0,0.0,0.0,25101.0,0,,-0.0004780686028444947,25124.798989873223,25085.201010126777,25105.0,,,,0.0,0.0,0.0,,,25095.0,,,,
12,HK.MHImain,2020-07-24 00:40:00,25089.0,25080.0,25093.0,25077.0,250,6270351.0,0.0,0.0,25089.0,0,,-0.00035872294631111856,25120.32945703134,25074.470542968662,25097.4,,,,0.0,0.0,0.0,5.7302454929037205,7.378965970738122,25083.333333333332,,,,
13,HK.MHImain,2020-07-24 00:45:00,25081.0,25104.0,25114.0,25081.0,283,7104092.0,0.0,0.0,25080.0,0,,0.000956937799043045,25115.289484348043,25076.310515651956,25095.8,,,,0.0,0.0,0.0,13.98024549290372,8.795902058560285,25099.666666666668,,,,
14,HK.MHImain,2020-07-24 00:50:00,25106.0,25102.0,25108.0,25096.0,94,2359453.0,0.0,0.0,25104.0,0,,-7.966857871255506e-05,25113.67809512857,25076.721904871432,25095.2,,,,0.0,0.0,0.0,26.577223851417397,15.429238279074944,25102.0,,,,
15,HK.MHImain,2020-07-24 00:55:00,25102.0,25086.0,25111.0,25084.0,131,3287269.0,0.0,0.0,25102.0,0,,-0.0006373994104055258,25110.80752535323,25073.59247464677,25092.2,,,,0.0,0.0,0.0,31.21009098428453,23.922520109535213,25093.666666666668,,,,
16,HK.MHImain,2020-07-24 01:00:00,25088.0,25076.0,25092.0,25052.0,472,11832619.0,0.0,0.0,25086.0,0,,-0.0003986287172127456,25112.424548189134,25066.775451810863,25089.6,,,,0.0,0.0,0.0,29.59970137389492,29.129005403198946,25073.333333333332,,,,
17,HK.MHImain,2020-07-24 01:05:00,25071.0,25086.0,25092.0,25070.0,112,2809258.0,0.0,0.0,25076.0,0,,0.00039878768543633036,25112.056528412526,25069.543471587473,25090.8,,,,0.0,0.0,0.0,30.877455877455876,30.562416078545102,25082.666666666668,,,,
18,HK.MHImain,2020-07-24 01:10:00,25084.0,25072.0,25089.0,25072.0,70,1755738.0,0.0,0.0,25086.0,0,,-0.0005580802040978661,25105.169207980412,25063.63079201959,25084.4,,,,0.0,0.0,0.0,35.36463536463537,31.947264205328718,25077.666666666668,,,,
19,HK.MHImain,2020-07-24 01:15:00,25073.0,25071.0,25077.0,25064.0,99,2481959.0,0.0,0.0,25072.0,0,,-3.9885130823202886e-05,25091.369662108697,25065.030337891305,25078.2,,,,0.0,0.0,0.0,35.190078738465836,33.810723326852354,25070.666666666668,,,,
20,HK.MHImain,2020-07-24 01:20:00,25068.0,25050.0,25075.0,25045.0,223,5587076.0,0.0,0.0,25071.0,0,,-0.0008376211559172342,25094.52870586974,25047.47129413026,25071.0,,,,0.0,0.0,0.0,22.886922957049183,31.147212353383456,25056.666666666668,,,,
21,HK.MHImain,2020-07-24 01:25:00,25055.0,25038.0,25057.0,25035.0,155,3881624.0,0.0,0.0,25050.0,0,,-0.0004790419161676551,25097.660180964966,25029.139819035037,25063.4,,,,0.0,0.0,0.0,13.896335485449056,23.991112393654685,25043.333333333332,,,,
22,HK.MHImain,2020-07-24 01:30:00,25040.0,25053.0,25053.0,25033.0,138,3455820.0,0.0,0.0,25038.0,0,,0.0005990893841361089,25082.827677577094,25030.772322422905,25056.8,,,,0.0,0.0,0.0,12.22829026901674,16.33718290383832,25046.333333333332,,,,
23,HK.MHImain,2020-07-24 01:35:00,25050.0,25030.0,25053.0,25025.0,183,4581424.0,0.0,0.0,25053.0,0,,-0.0009180537261006538,25076.417137604712,25020.38286239529,25048.4,,,,0.0,0.0,0.0,11.750815827942704,12.62514719413616,25036.0,,,,
24,HK.MHImain,2020-07-24 01:40:00,25034.0,25017.0,25035.0,25017.0,181,4529371.0,0.0,0.0,25030.0,0,,-0.000519376747902478,25064.030285666628,25011.16971433337,25037.6,,,,0.0,0.0,0.0,10.484993043132578,11.488033046697332,25023.0,,,,
25,HK.MHImain,2020-07-24 01:45:00,25019.0,25005.0,25020.0,24996.0,328,8202114.0,0.0,0.0,25017.0,0,,-0.00047967382180114093,25061.792770300606,24995.40722969939,25028.6,,,,0.0,0.0,0.0,5.062984496124032,9.09959778906643,25007.0,25095.84615384616,35.17948717948708,-168.3673469387871,
26,HK.MHImain,2020-07-24 01:50:00,25002.0,24965.0,25018.0,24965.0,390,9745432.0,0.0,0.0,25005.0,0,,-0.0015996800639872522,25072.432867464257,24955.567132535743,25014.0,,,,0.0,0.0,0.0,3.1250000000000013,6.2243258464188616,24982.666666666668,25088.820512820515,37.16765285996035,-190.40543409043022,0.0
27,HK.MHImain,2020-07-24 01:55:00,24964.0,24972.0,24997.0,24959.0,240,5994099.0,0.0,0.0,24965.0,0,,0.00028039254956935267,25048.386954844493,24947.213045155506,24997.8,,,,0.0,0.0,1.0,6.797316384180792,4.995100293434933,24976.0,25081.487179487183,38.74556213017688,-181.5041064277568,0.0
28,HK.MHImain,2020-07-24 02:00:00,24970.0,24991.0,24991.0,24959.0,167,4171752.0,0.0,0.0,24972.0,0,,0.0007608521544129054,25029.02819493404,24950.97180506596,24990.0,,,,0.0,0.0,0.0,12.867718683031368,7.596678355737379,24980.333333333332,25074.448717948722,40.27712031558132,-155.77973115252962,0.0
29,HK.MHImain,2020-07-24 02:05:00,24989.0,24953.0,24989.0,24949.0,270,6739616.0,0.0,0.0,24991.0,0,,-0.0015205473970629768,25014.346197647617,24940.053802352384,24977.2,,,,0.0,0.0,0.0,14.102286584265935,11.255773883826024,24963.666666666668,25066.948717948722,42.652859960551304,-161.43044315993154,0.0
30,HK.MHImain,2020-07-24 02:10:00,24955.0,24941.0,24964.0,24932.0,281,7009702.0,0.0,0.0,24953.0,0,,-0.0004809040997074687,24998.37881692971,24930.42118307029,24964.4,,,,0.0,0.0,0.0,12.909309043060352,13.293104770119209,24945.666666666668,25058.948717948722,45.21301775147857,-167.03456499295476,0.0
31,HK.MHImain,2020-07-24 02:15:00,24937.0,24935.0,24947.0,24920.0,242,6033091.0,0.0,0.0,24941.0,0,,-0.00024056773986613766,24999.652393866927,24917.147606133076,24958.4,,,,0.0,0.0,0.0,7.473305240450377,11.494966955925547,24934.0,25051.20512820513,48.09664694280078,-162.4577950926125,0.0
32,HK.MHImain,2020-07-24 02:20:00,24932.0,24938.0,24946.0,24908.0,227,5657980.0,0.0,0.0,24935.0,0,,0.00012031281331470467,24992.852393872705,24910.347606127292,24951.6,,,,0.0,0.0,0.0,14.112753087247306,11.49845579025267,24930.666666666668,25043.98717948718,50.886587771203125,-148.46153349224988,0.0
33,HK.MHImain,2020-07-24 02:25:00,24938.0,24948.0,24949.0,24928.0,118,2942565.0,0.0,0.0,24938.0,0,,0.00040099446627639423,24956.206059218985,24929.793940781015,24943.0,,,,0.0,0.0,0.0,23.538176149034,15.041411492243887,24941.666666666668,25037.358974358973,53.09861932938866,-120.14412540395601,0.0
34,HK.MHImain,2020-07-24 02:30:00,24946.0,24944.0,24949.0,24937.0,96,2394515.0,0.0,0.0,24948.0,0,,-0.00016033349366684213,24950.268627226385,24932.131372773616,24941.2,,,,0.0,0.0,0.0,30.68786856188431,22.779599266055197,24943.333333333332,25030.884615384617,54.74852071005877,-106.61022546459346,0.0
35,HK.MHImain,2020-07-24 02:35:00,24942.0,24969.0,24976.0,24927.0,236,5890239.0,0.0,0.0,24944.0,0,,0.0010022450288647011,24970.779991658917,24922.82000834108,24946.8,,,,0.0,0.0,0.0,45.660294761418356,33.29544649077888,24957.333333333332,25024.96153846154,54.938856015779,-82.06481414997477,0.0
36,HK.MHImain,2020-07-24 02:40:00,24967.0,24934.0,24973.0,24932.0,124,3094130.0,0.0,0.0,24969.0,0,,-0.0014017381553126373,24970.98360105521,24922.216398944787,24946.6,,,,0.0,0.0,0.0,44.197299924929546,40.18182108274406,24946.333333333332,25018.923076923078,55.262327416173534,-87.56989554334406,0.0
37,HK.MHImain,2020-07-24 02:45:00,24935.0,24949.0,24965.0,24932.0,102,2544780.0,0.0,0.0,24934.0,0,,0.0006015881928289613,24971.617537122645,24925.982462877353,24948.8,,,,0.0,0.0,0.0,50.16063699937772,46.672743895241865,24948.666666666668,25013.29487179487,55.03846153846154,-78.28247534746261,0.0
38,HK.MHImain,2020-07-24 02:50:00,24954.0,24958.0,24966.0,24940.0,127,3168864.0,0.0,0.0,24949.0,0,,0.00036073590123852917,24974.713176287405,24926.886823712593,24950.8,-86.04381572931379,-100.17398948331102,28.260347507994453,0.0,0.0,0.0,51.82399897338081,48.727311965896014,24954.666666666668,25008.34615384615,54.218934911242215,-66.00337104538065,0.0
