,CCIParameters,CumulativeReturn,DailyWinRate,KLineSubType,MACDParameters,MaxDrawdown,Number of Orders,ProfitBeforeFee,SharpeRatio,Symbol,Total Fee,slowKDParameters
0,"26,0.015,100,7",0.08685987109596915,0.6081081081081081,K_5M,"5,35,5",0.00837655854781294,30,4.449999999999932,1.7220736058738357,HK.00027,318.0,"9,3,3"
0,"26,0.015,100,7",0.036436101542896004,0.6,K_5M,"5,35,5",0.007616974972796564,22,0.6599999999999682,1.1130206822095403,HK.00023,233.2,"9,3,3"
0,"26,0.015,100,7",0.044463096951132375,0.5822784810126582,K_5M,"5,35,5",0.010260223048326855,36,1.75,1.0703650367522746,HK.00019,381.59999999999997,"9,3,3"
0,"26,0.015,100,7",0.061579720924624715,0.5565217391304348,K_5M,"5,35,5",0.010825439783491375,30,2.300000000000068,1.3352195357113104,HK.00017,318.0,"9,3,3"
0,"26,0.015,100,7",0.0004369516611781865,0.5121951219512195,K_5M,"5,35,5",0.00479726209586917,8,0.05000000000006821,0.04948501655010124,HK.00016,84.8,"9,3,3"
0,"26,0.015,100,7",0.008523956574791436,0.6,K_5M,"5,35,5",0.005172413793103403,6,0.25,0.7546700054443215,HK.00012,63.599999999999994,"9,3,3"
0,"26,0.015,100,7",0.025794171307864877,0.5538461538461539,K_5M,"5,35,5",0.004696684041255117,14,3.2999999999999545,1.3733910745330993,HK.00011,148.4,"9,3,3"
0,"26,0.015,100,7",0.017525218232607553,0.5714285714285714,K_5M,"5,35,5",0.002369253404212457,12,0.7499999999999716,1.0109789739940813,HK.00006,127.19999999999999,"9,3,3"
0,"26,0.015,100,7",0.03272477960574749,0.6470588235294118,K_5M,"5,35,5",0.006716836411657101,14,1.2000000000000455,1.3008373803377893,HK.00005,148.4,"9,3,3"
0,"26,0.015,100,7",0.02313108492806837,0.6222222222222222,K_5M,"5,35,5",0.003561885818388011,12,0.2600000000000051,1.1932232040203765,HK.00003,127.19999999999999,"9,3,3"
0,"26,0.015,100,7",0.01363273002650156,0.6,K_5M,"5,35,5",0.00345781466113404,6,1.0,1.0431872849441974,HK.00002,63.599999999999994,"9,3,3"
0,"26,0.015,100,7",0.04590854663676991,0.6621621621621622,K_5M,"5,35,5",0.004837435432968773,18,2.2999999999999545,1.9859980634238723,HK.00001,190.79999999999998,"9,3,3"
