t,code,time_key,open,close,high,low,volume,turnover,pe_ratio,turnover_rate,last_close,holding,orderPlaced,index_ret,ma5,ma10,ma20,ma60,diff,dea,macd,macdThreshold,macdScore,slowkdScore,slowk,slowd,tp,matp,mean_dev,CCI,CCIScore
0,HK.02018,2020-07-14 11:55:00,58.4,58.65,58.65,58.35,296000,17306500.0,0.0,0.0,58.35,0,,,,,,,,,,0.0,,0.0,,,58.550000000000004,,,,0.0
1,HK.02018,2020-07-14 12:00:00,58.6,58.7,58.7,58.55,79500,4662225.0,0.0,0.0,58.65,0,,0.0008525149190110604,,,,,,,,,,,,,58.65,,,,
2,HK.02018,2020-07-14 13:05:00,58.65,58.35,58.7,58.35,197000,11536225.0,0.0,0.0,58.7,0,,-0.00596252129471897,,,,,,,,,,,,,58.46666666666667,,,,
3,HK.02018,2020-07-14 13:10:00,58.4,58.8,58.9,58.3,320000,18779550.0,0.0,0.0,58.35,0,,0.007712082262210762,,,,,,,,,,,,,58.666666666666664,,,,
4,HK.02018,2020-07-14 13:15:00,58.8,58.5,58.8,58.45,149500,8763075.0,0.0,0.0,58.8,0,,-0.005102040816326481,58.6,,,,,,,0.0,0.0,0.0,,,58.583333333333336,,,,
5,HK.02018,2020-07-14 13:20:00,58.55,58.75,58.75,58.5,94500,5536925.0,0.0,0.0,58.5,0,,0.004273504273504258,58.620000000000005,,,,,,,0.0,0.0,0.0,,,58.666666666666664,,,,
6,HK.02018,2020-07-14 13:25:00,58.7,58.55,58.7,58.4,92500,5412650.0,0.0,0.0,58.75,0,,-0.0034042553191490077,58.59000000000001,,,,,,,0.0,0.0,0.0,,,58.550000000000004,,,,
7,HK.02018,2020-07-14 13:30:00,58.5,58.45,58.55,58.3,74000,4320750.0,0.0,0.0,58.55,0,,-0.0017079419299742549,58.610000000000014,,,,,,,0.0,0.0,0.0,,,58.43333333333334,,,,
8,HK.02018,2020-07-14 13:35:00,58.35,58.3,58.5,58.3,72500,4234650.0,0.0,0.0,58.45,0,,-0.0025662959794697793,58.51000000000001,,,,,,,0.0,0.0,0.0,,,58.36666666666667,,,,
9,HK.02018,2020-07-14 13:40:00,58.35,58.25,58.35,58.1,90500,5265025.0,0.0,0.0,58.3,0,,-0.0008576329331045907,58.460000000000015,58.529999999999994,,,,,,0.0,0.0,0.0,,,58.23333333333333,,,,
10,HK.02018,2020-07-14 13:45:00,58.25,58.1,58.3,58.0,129500,7531000.0,0.0,0.0,58.25,0,,-0.0025751072961373023,58.33000000000002,58.475,,,,,,0.0,0.0,0.0,,,58.13333333333333,,,,
11,HK.02018,2020-07-14 13:50:00,58.15,58.05,58.15,58.0,168500,9781000.0,0.0,0.0,58.1,0,,-0.000860585197934638,58.23000000000002,58.40999999999999,,,,,,0.0,0.0,0.0,,,58.06666666666666,,,,
12,HK.02018,2020-07-14 13:55:00,58.0,57.85,58.05,57.8,215500,12481300.0,0.0,0.0,58.05,0,,-0.003445305770887086,58.11000000000003,58.35999999999999,,,,,,0.0,0.0,0.0,7.222222222222321,9.660493827160506,57.9,,,,
13,HK.02018,2020-07-14 14:00:00,57.8,57.9,57.9,57.65,262500,15163950.0,0.0,0.0,57.85,0,,0.0008643042350906516,58.030000000000015,58.269999999999996,,,,,,0.0,0.0,0.0,11.094276094276124,10.040684624017972,57.81666666666666,,,,
14,HK.02018,2020-07-14 14:05:00,57.9,57.95,58.0,57.8,269500,15614000.0,0.0,0.0,57.9,0,,0.0008635578583766623,57.97000000000001,58.214999999999996,,,,,,0.0,0.0,0.0,18.766233766233995,12.360910694244147,57.916666666666664,,,,
15,HK.02018,2020-07-14 14:10:00,57.95,58.0,58.05,57.95,172000,9975850.0,0.0,0.0,57.95,0,,0.0008628127696288512,57.950000000000024,58.14,,,,,,0.0,0.0,0.0,30.062530062530225,19.97434664101345,58.0,,,,
16,HK.02018,2020-07-14 14:15:00,58.0,58.15,58.15,57.9,221000,12824800.0,0.0,0.0,58.0,0,,0.002586206896551646,57.97000000000001,58.1,,,,,,0.0,0.0,0.0,42.09461562402753,30.307793150930582,58.06666666666666,,,,
17,HK.02018,2020-07-14 14:20:00,58.15,58.25,58.4,58.05,205500,11968075.0,0.0,0.0,58.15,0,,0.0017196904557179593,58.050000000000026,58.08,,,,,,0.0,0.0,0.0,59.23747276688464,43.79820615114747,58.23333333333333,,,,
18,HK.02018,2020-07-14 14:25:00,58.25,58.4,58.5,58.25,100000,5836675.0,0.0,0.0,58.25,0,,0.0025751072961373023,58.15000000000002,58.089999999999996,,,,,,0.0,0.0,0.0,75.68627450980391,59.006120966905364,58.38333333333333,,,,
