t,code,time_key,open,close,high,low,volume,turnover,pe_ratio,turnover_rate,last_close,holding,orderPlaced,index_ret,ma5,ma10,ma20,ma60,diff,dea,macd,macdThreshold,macdScore,slowkdScore,slowk,slowd,tp,matp,mean_dev,CCI,CCIScore
0,HK.02007,2020-07-14 11:55:00,10.26,10.26,10.26,10.24,82000,840360.0,0.0,0.0,10.26,0,,,,,,,,,,0.0,,0.0,,,10.253333333333332,,,,0.0
1,HK.02007,2020-07-14 12:00:00,10.24,10.24,10.26,10.24,191000,1957200.0,0.0,0.0,10.26,0,,-0.0019493177387913674,,,,,,,,,,,,,10.246666666666668,,,,
2,HK.02007,2020-07-14 13:05:00,10.26,10.3,10.38,10.24,892000,9190080.0,0.0,0.0,10.24,0,,0.005859375,,,,,,,,,,,,,10.306666666666667,,,,
3,HK.02007,2020-07-14 13:10:00,10.32,10.34,10.38,10.28,349000,3603240.0,0.0,0.0,10.3,0,,0.003883495145631022,,,,,,,,,,,,,10.333333333333334,,,,
4,HK.02007,2020-07-14 13:15:00,10.34,10.28,10.34,10.28,107000,1101900.0,0.0,0.0,10.34,0,,-0.005802707930367523,10.284,,,,,,,0.0,0.0,0.0,,,10.299999999999999,,,,
5,HK.02007,2020-07-14 13:20:00,10.28,10.3,10.34,10.28,189000,1948580.0,0.0,0.0,10.28,0,,0.001945525291829009,10.292000000000002,,,,,,,0.0,0.0,0.0,,,10.306666666666667,,,,
6,HK.02007,2020-07-14 13:25:00,10.32,10.32,10.34,10.3,284000,2930740.0,0.0,0.0,10.3,0,,0.0019417475728153999,10.308000000000002,,,,,,,0.0,0.0,0.0,,,10.32,,,,
7,HK.02007,2020-07-14 13:30:00,10.32,10.32,10.34,10.3,315000,3249400.0,0.0,0.0,10.32,0,,0.0,10.312000000000001,,,,,,,0.0,0.0,0.0,,,10.32,,,,
8,HK.02007,2020-07-14 13:35:00,10.32,10.3,10.32,10.3,279000,2877560.0,0.0,0.0,10.32,0,,-0.0019379844961240345,10.304000000000002,,,,,,,0.0,0.0,0.0,,,10.306666666666667,,,,
9,HK.02007,2020-07-14 13:40:00,10.3,10.3,10.32,10.3,363000,3739320.0,0.0,0.0,10.3,0,,0.0,10.308000000000002,10.295999999999998,,,,,,0.0,0.0,0.0,,,10.306666666666667,,,,
10,HK.02007,2020-07-14 13:45:00,10.28,10.3,10.3,10.26,284000,2921480.0,0.0,0.0,10.3,0,,0.0,10.308000000000002,10.299999999999997,,,,,,0.0,0.0,0.0,,,10.286666666666667,,,,
11,HK.02007,2020-07-14 13:50:00,10.28,10.28,10.32,10.26,221000,2272580.0,0.0,0.0,10.3,0,,-0.001941747572815622,10.3,10.303999999999998,,,,,,0.0,0.0,0.0,,,10.286666666666667,,,,
12,HK.02007,2020-07-14 13:55:00,10.28,10.26,10.28,10.26,181000,1857400.0,0.0,0.0,10.28,0,,-0.0019455252918287869,10.288,10.299999999999999,,,,,,0.0,0.0,0.0,19.841269841269742,32.275132275132286,10.266666666666666,,,,
13,HK.02007,2020-07-14 14:00:00,10.28,10.26,10.3,10.26,200000,2054180.0,0.0,0.0,10.26,0,,0.0,10.28,10.291999999999998,,,,,,0.0,0.0,0.0,5.555555555555396,19.84126984126974,10.273333333333333,,,,
14,HK.02007,2020-07-14 14:05:00,10.26,10.3,10.3,10.26,204000,2096520.0,0.0,0.0,10.26,0,,0.003898635477582957,10.279999999999998,10.293999999999999,,,,,,0.0,0.0,0.0,16.66666666666704,14.021164021164056,10.286666666666667,,,,
15,HK.02007,2020-07-14 14:10:00,10.28,10.3,10.32,10.28,265000,2726240.0,0.0,0.0,10.3,0,,0.0,10.279999999999998,10.293999999999999,,,,,,0.0,0.0,0.0,33.333333333334075,18.518518518518835,10.299999999999999,,,,
16,HK.02007,2020-07-14 14:15:00,10.32,10.32,10.34,10.3,214000,2208000.0,0.0,0.0,10.3,0,,0.0019417475728153999,10.287999999999998,10.293999999999997,,,,,,0.0,0.0,0.0,58.33333333333426,36.11111111111179,10.32,,,,
17,HK.02007,2020-07-14 14:20:00,10.32,10.3,10.34,10.28,213000,2196680.0,0.0,0.0,10.32,0,,-0.0019379844961240345,10.295999999999998,10.291999999999998,,,,,,0.0,0.0,0.0,58.33333333333426,50.00000000000086,10.306666666666667,,,,
18,HK.02007,2020-07-14 14:25:00,10.3,10.32,10.34,10.28,839000,8654100.0,0.0,0.0,10.3,0,,0.0019417475728153999,10.307999999999998,10.293999999999997,,,,,,0.0,0.0,0.0,66.66666666666741,61.111111111111974,10.313333333333333,,,,
19,HK.02007,2020-07-14 14:30:00,10.34,10.32,10.36,10.32,156000,1612520.0,0.0,0.0,10.32,0,,0.0,10.312,10.295999999999998,10.296,,,,,0.0,0.0,0.0,61.66666666666745,62.222222222223046,10.333333333333334,,,,
20,HK.02007,2020-07-14 14:35:00,10.32,10.3,10.34,10.3,200000,2063640.0,0.0,0.0,10.32,0,,-0.0019379844961240345,10.311999999999998,10.295999999999998,10.298,,,,,0.0,0.0,0.0,58.3333333333341,62.222222222222996,10.313333333333334,,,,
21,HK.02007,2020-07-14 14:40:00,10.3,10.3,10.34,10.28,413000,4257420.0,0.0,0.0,10.3,0,,0.0,10.307999999999998,10.297999999999998,10.301,,,,,0.0,0.0,0.0,46.6666666666676,55.555555555556396,10.306666666666667,,,,
22,HK.02007,2020-07-14 14:45:00,10.28,10.28,10.32,10.28,51000,524380.0,0.0,0.0,10.3,0,,-0.001941747572815622,10.303999999999998,10.299999999999997,10.3,,,,,0.0,0.0,0.0,33.33333333333392,46.11111111111188,10.293333333333335,,,,
23,HK.02007,2020-07-14 14:50:00,10.28,10.28,10.3,10.28,182000,1873140.0,0.0,0.0,10.28,0,,0.0,10.296,10.301999999999996,10.297,,,,,0.0,0.0,0.0,20.00000000000023,33.33333333333392,10.286666666666667,,,,
24,HK.02007,2020-07-14 14:55:00,10.3,10.28,10.3,10.28,274000,2820720.0,0.0,0.0,10.28,0,,0.0,10.288,10.299999999999997,10.297,,,,,0.0,0.0,0.0,6.6666666666665435,20.000000000000234,10.286666666666667,,,,
25,HK.02007,2020-07-14 15:00:00,10.28,10.28,10.3,10.28,213000,2189960.0,0.0,0.0,10.28,0,,0.0,10.284,10.297999999999998,10.296,,,,,0.0,0.0,0.0,-3.552713678800501e-15,8.888888888888927,10.286666666666667,10.297948717948717,0.01723865877712031,-43.63081617085768,
26,HK.02007,2020-07-14 15:05:00,10.28,10.28,10.3,10.28,232000,2385020.0,0.0,0.0,10.28,0,,0.0,10.280000000000001,10.293999999999997,10.294,,,,,0.0,0.0,0.0,-3.552713678800501e-15,2.2222222222221824,10.286666666666667,10.299230769230771,0.015759368836291435,-53.14977054652467,0.0
27,HK.02007,2020-07-14 15:10:00,10.28,10.28,10.3,10.26,124000,1273660.0,0.0,0.0,10.28,0,,0.0,10.280000000000001,10.291999999999998,10.292,,,,,0.0,0.0,1.0,6.6666666666665435,2.2222222222221824,10.28,10.30051282051282,0.014358974358974418,-95.23809523809452,0.0
28,HK.02007,2020-07-14 15:15:00,10.3,10.26,10.3,10.26,213000,2187680.0,0.0,0.0,10.28,0,,-0.0019455252918287869,10.276,10.285999999999998,10.29,,,,,0.0,0.0,0.0,6.6666666666665435,4.444444444444365,10.273333333333333,10.299230769230768,0.015187376725838279,-113.67965367964615,-1.0
29,HK.02007,2020-07-14 15:20:00,10.26,10.3,10.3,10.26,511000,5249380.0,0.0,0.0,10.26,0,,0.003898635477582957,10.280000000000001,10.283999999999995,10.29,,,,,0.0,0.0,0.0,23.33333333333358,12.222222222222227,10.286666666666667,10.297435897435898,0.014358974358974212,-50.00000000000199,0.0
30,HK.02007,2020-07-14 15:25:00,10.3,10.3,10.3,10.28,184000,1892200.0,0.0,0.0,10.3,0,,0.0,10.284,10.283999999999995,10.29,,,,,0.0,0.0,0.0,38.88888888888958,22.962962962963235,10.293333333333335,10.297179487179488,0.014398422090729664,-17.80821917807816,0.0
31,HK.02007,2020-07-14 15:30:00,10.3,10.28,10.3,10.26,709000,7286300.0,0.0,0.0,10.3,0,,-0.001941747572815622,10.284,10.281999999999996,10.29,,,,,0.0,0.0,0.0,55.55555555555551,39.25925925925956,10.28,10.296153846153846,0.014536489151873607,-74.08412483039649,0.0
32,HK.02007,2020-07-14 15:35:00,10.28,10.28,10.32,10.28,792000,8153080.0,0.0,0.0,10.28,0,,0.0,10.284,10.281999999999996,10.291,,,,,0.0,0.0,0.0,49.999999999999254,48.14814814814812,10.293333333333335,10.295128205128206,0.013491124260355036,-8.869395711498306,0.0
33,HK.02007,2020-07-14 15:40:00,10.3,10.28,10.3,10.28,639000,6573240.0,0.0,0.0,10.28,0,,0.0,10.288,10.281999999999996,10.292,,,,,0.0,0.0,0.0,38.888888888887486,48.14814814814741,10.286666666666667,10.293846153846156,0.012465483234714329,-38.39662447258031,0.0
34,HK.02007,2020-07-14 15:45:00,10.28,10.26,10.3,10.26,797000,8189240.0,0.0,0.0,10.28,0,,-0.0019455252918287869,10.28,10.279999999999998,10.29,,,,,0.0,0.0,0.0,22.222222222221557,37.03703703703609,10.273333333333333,10.292564102564103,0.012445759368836535,-103.01109350237957,-1.0
35,HK.02007,2020-07-14 15:50:00,10.28,10.3,10.3,10.26,1048000,10765840.0,0.0,0.0,10.26,0,,0.003898635477582957,10.279999999999998,10.281999999999996,10.29,,,,,0.0,0.0,0.0,33.33333333333332,31.481481481480785,10.286666666666667,10.291794871794874,0.011952662721894077,-28.602860286037007,0.0
36,HK.02007,2020-07-14 15:55:00,10.3,10.26,10.3,10.24,748000,7677940.0,0.0,0.0,10.3,0,,-0.003883495145631133,10.275999999999998,10.279999999999998,10.286999999999999,,,,,0.0,0.0,0.0,30.55555555555569,28.70370370370352,10.266666666666667,10.29102564102564,0.01254437869822489,-129.4549266247324,-1.0
37,HK.02007,2020-07-14 16:00:00,10.26,10.3,10.3,10.24,3691000,37997100.0,0.0,0.0,10.26,0,,0.003898635477582957,10.279999999999998,10.281999999999996,10.286999999999999,,,,,0.0,0.0,0.0,55.55555555555588,39.81481481481496,10.280000000000001,10.29076923076923,0.01274161735700194,-56.3467492259987,0.0
38,HK.02007,2020-07-15 09:35:00,10.6,10.44,10.6,10.42,674000,7086560.0,0.0,0.0,10.3,0,,0.013592233009708687,10.311999999999998,10.299999999999995,10.293,,0.03872339255775792,0.0016822642454364712,0.07408225662464289,0.0,0.0,0.0,51.85185185185181,45.987654320987794,10.486666666666666,10.299230769230771,0.02201183431952704,567.6821983273421,1.0
39,HK.02007,2020-07-15 09:40:00,10.44,10.44,10.48,10.42,319000,3329960.0,0.0,0.0,10.44,0,,0.0,10.347999999999997,10.313999999999997,10.299,,0.06524150312210786,0.022868677204326934,0.08474565183556185,0.0,0.0,0.0,62.037037037037145,56.481481481481616,10.446666666666667,10.305897435897437,0.029191321499014045,321.4864864864823,0.0
40,HK.02007,2020-07-15 09:45:00,10.44,10.42,10.44,10.42,175000,1826740.0,0.0,0.0,10.44,0,,-0.0019157088122604415,10.371999999999996,10.325999999999997,10.304999999999998,,0.07517435971591802,0.040303904708190626,0.06974091001545478,0.0,0.0,0.0,53.70370370370362,55.864197530864196,10.426666666666668,10.311282051282053,0.0354635108481267,216.90767519465714,0.0
41,HK.02007,2020-07-15 09:50:00,10.44,10.42,10.46,10.38,1369000,14285540.0,0.0,0.0,10.42,0,,0.0,10.403999999999998,10.339999999999996,10.310999999999996,,0.08003626276172682,0.053548024059369356,0.05297647740471492,0.0,0.0,0.0,51.85185185185181,55.864197530864196,10.420000000000002,10.315897435897437,0.04138067061144021,167.71528439783884,0.0
42,HK.02007,2020-07-15 09:55:00,10.42,10.44,10.44,10.42,370000,3862560.0,0.0,0.0,10.42,0,,0.0019193857965451588,10.431999999999997,10.355999999999996,10.318999999999997,,0.08717086351720482,0.06475563721198117,0.0448304526104473,0.0,0.0,0.0,51.85185185185181,52.46913580246908,10.433333333333332,10.320256410256412,0.048086785009862895,156.76784249383905,0.0
43,HK.02007,2020-07-15 10:00:00,10.44,10.44,10.44,10.42,93000,970820.0,0.0,0.0,10.44,0,,0.0,10.431999999999997,10.371999999999996,10.326999999999996,,0.09004874429811238,0.07318667290735824,0.03372414278150829,0.0,0.0,0.0,53.70370370370362,52.46913580246908,10.433333333333332,10.325128205128207,0.05416173570019788,133.18766690943806,0.0
